통계표,계정항목,단위,변환,2018/01,2018/02,2018/03,2018/04,2018/05,2018/06,2018/07,2018/08,2018/09,2018/10,2018/11,2018/12,2019/01,2019/02,2019/03,2019/04,2019/05,2019/06,2019/07,2019/08,2019/09,2019/10,2019/11,2019/12,2020/01,2020/02,2020/03,2020/04,2020/05,2020/06,2020/07,2020/08,2020/09,2020/10,2020/11,2020/12,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12,2022/01,2022/02,2022/03,2022/04,2022/05,2022/06,2022/07,2022/08,2022/09,2022/10,2022/11,2022/12,2023/01,2023/02,2023/03,2023/04,2023/05,2023/06,2023/07,2023/08,2023/09,2023/10,2023/11
"1.5.1.2. 주식시장(월,년)","  KOSPI_종가","1980.01.04=100 ","원자료","2,566.46","2,427.36","2,445.85","2,515.38","2,423.01","2,326.13","2,295.26","2,322.88","2,343.07","2,029.69","2,096.86","2,041.04","2,204.85","2,195.44","2,140.67","2,203.59","2,041.74","2,130.62","2,024.55","1,967.79","2,063.05","2,083.48","2,087.96","2,197.67","2,119.01","1,987.01","1,754.64","1,947.56","2,029.60","2,108.33","2,249.37","2,326.17","2,327.89","2,267.15","2,591.34","2,873.47","2,976.21","3,012.95","3,061.42","3,147.86","3,203.92","3,296.68","3,202.32","3,199.27","3,068.82","2,970.68","2,839.01","2,977.65","2,663.34","2,699.18","2,757.65","2,695.05","2,685.90","2,332.64","2,451.50","2,472.05","2,155.49","2,293.61","2,472.53","2,236.40","2,425.08","2,412.85","2,476.86","2,501.53","2,577.12","2,564.28","2,632.58","2,556.27","2,465.07","2,277.99","2,535.29"
"1.5.1.2. 주식시장(월,년)","  KOSDAQ_종가","1996.07.01=1000","원자료","913.57","857.06","871.09","875.95","879.66","818.22","775.52","816.97","822.27","648.67","695.76","675.65","716.86","731.25","729.31","754.74","696.47","690.53","630.18","610.55","621.76","658.52","632.99","669.83","642.48","610.73","569.07","645.18","713.68","737.97","815.30","848.24","848.15","792.65","886.11","968.42","928.73","913.94","956.17","983.45","981.78","1,029.96","1,031.14","1,038.33","1,003.27","992.33","965.63","1,033.98","872.87","881.07","944.53","904.75","893.36","745.44","803.62","807.04","672.65","695.33","729.54","679.29","740.49","791.60","847.52","842.83","856.94","868.24","935.97","928.40","841.02","736.10","831.68"
