"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200101 ~ 20201231"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 강남구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일","등기신청일자","거래유형","중개사소재지"
"서울특별시 강남구 개포동","655-2","0655","0002","개포2차현대아파트(220)","77.75","202006","23","149,500","4","1988","언주로 103",""," ","-","-"
"서울특별시 강남구 개포동","658-1","0658","0001","개포6차우성아파트1동~8동","54.98","202002","24","144,000","4","1987","언주로 3",""," ","-","-"
"서울특별시 강남구 개포동","658-1","0658","0001","개포6차우성아파트1동~8동","79.97","202006","18","162,750","4","1987","언주로 3",""," ","-","-"
"서울특별시 강남구 개포동","658-1","0658","0001","개포6차우성아파트1동~8동","79.97","202006","20","160,000","5","1987","언주로 3",""," ","-","-"
"서울특별시 강남구 개포동","658-1","0658","0001","개포6차우성아파트1동~8동","79.97","202006","22","150,000","2","1987","언주로 3",""," ","-","-"
"서울특별시 강남구 개포동","658-1","0658","0001","개포6차우성아파트1동~8동","67.28","202006","25","165,000","2","1987","언주로 3",""," ","-","-"
"서울특별시 강남구 개포동","658-1","0658","0001","개포6차우성아파트1동~8동","67.28","202006","25","120,000","4","1987","언주로 3",""," ","-","-"
"서울특별시 강남구 개포동","658-1","0658","0001","개포6차우성아파트1동~8동","67.28","202006","25","165,000","2","1987","언주로 3","20200831"," ","-","-"
"서울특별시 강남구 개포동","658-1","0658","0001","개포6차우성아파트1동~8동","67.28","202006","25","165,000","2","1987","언주로 3","20200916"," ","-","-"
"서울특별시 강남구 개포동","658-1","0658","0001","개포6차우성아파트1동~8동","79.97","202007","11","169,800","4","1987","언주로 3",""," ","-","-"
"서울특별시 강남구 개포동","658-1","0658","0001","개포6차우성아파트1동~8동","79.97","202008","25","178,000","5","1987","언주로 3",""," ","-","-"
"서울특별시 강남구 개포동","658-1","0658","0001","개포6차우성아파트1동~8동","54.98","202012","4","146,000","1","1987","언주로 3",""," ","-","-"
"서울특별시 강남구 개포동","658-1","0658","0001","개포6차우성아파트1동~8동","79.97","202012","28","155,400","3","1987","언주로 3",""," ","-","-"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","59.92","202010","10","188,200","10","2020","개포로 264",""," ","-","-"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","59.92","202010","10","188,200","10","2020","개포로 264",""," ","-","-"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","59.92","202010","12","193,000","4","2020","개포로 264",""," ","-","-"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","59.92","202011","16","195,000","17","2020","개포로 264","20210902"," ","-","-"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","59.92","202011","26","195,000","17","2020","개포로 264",""," ","-","-"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","59.92","202012","23","193,000","5","2020","개포로 264",""," ","-","-"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","133.46","202001","9","220,000","3","1984","개포로 307",""," ","-","-"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","161","202002","11","270,000","15","1984","개포로 307",""," ","-","-"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","161","202006","8","268,500","5","1984","개포로 307",""," ","-","-"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","161","202006","9","270,000","6","1984","개포로 307",""," ","-","-"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","104.43","202007","6","195,500","3","1984","개포로 307",""," ","-","-"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","161","202007","7","280,000","1","1984","개포로 307",""," ","-","-"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","104.43","202009","29","210,000","14","1984","개포로 307",""," ","-","-"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","133.46","202011","8","260,000","6","1984","개포로 307",""," ","-","-"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","104.43","202011","24","218,000","14","1984","개포로 307",""," ","-","-"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","133.46","202012","20","265,000","4","1984","개포로 307",""," ","-","-"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","104.43","202012","21","220,000","3","1984","개포로 307",""," ","-","-"
"서울특별시 강남구 개포동","12-2","0012","0002","개포자이","134.3","202001","6","203,000","17","2004","개포로109길 69",""," ","-","-"
"서울특별시 강남구 개포동","12-2","0012","0002","개포자이","134.3","202002","26","206,000","7","2004","개포로109길 69",""," ","-","-"
"서울특별시 강남구 개포동","12-2","0012","0002","개포자이","153.8","202008","1","252,000","8","2004","개포로109길 69",""," ","-","-"
"서울특별시 강남구 개포동","12-2","0012","0002","개포자이","153.8","202010","14","220,000","16","2004","개포로109길 69",""," ","-","-"
"서울특별시 강남구 개포동","12-2","0012","0002","개포자이","168.42","202011","18","240,000","20","2004","개포로109길 69","20201228"," ","-","-"
"서울특별시 강남구 개포동","12-2","0012","0002","개포자이","168.42","202011","18","240,000","20","2004","개포로109길 69",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","42.55","202002","11","192,000","4","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","58.08","202002","14","240,000","3","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","58.08","202002","15","242,000","1","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","35.87","202002","15","163,000","1","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.64","202002","15","213,000","5","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","42.55","202002","17","202,000","4","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","58.08","202002","17","315,000","4","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","35.64","202002","18","170,000","5","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.64","202002","20","260,000","4","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.38","202002","27","218,000","4","1982","개포로 310","20200302"," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","58.08","202003","2","226,000","1","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","56.57","202003","4","309,500","4","1982","선릉로 7",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","41.98","202003","6","203,000","5","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","56.57","202003","12","215,000","1","1982","선릉로 7",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.38","202003","19","264,000","1","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","49.56","202003","27","235,000","3","1982","선릉로 7",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.64","202003","30","194,000","4","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.64","202003","30","190,000","3","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","49.56","202004","4","195,000","4","1982","선릉로 7",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","41.98","202004","13","180,000","1","1982","개포로 310","20200414"," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","41.98","202004","13","180,000","1","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","42.55","202004","16","184,000","2","1982","개포로 310",""," ","-","-"
