"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일","등기신청일자","거래유형","중개사소재지"
"서울특별시 강남구 개포동","655-2","0655","0002","개포2차현대아파트(220)","77.75","201906","18","134,500","4","1988","언주로 103",""," ","-","-"
"서울특별시 강남구 개포동","655-2","0655","0002","개포2차현대아파트(220)","77.75","201911","18","160,000","2","1988","언주로 103",""," ","-","-"
"서울특별시 강남구 개포동","658-1","0658","0001","개포6차우성아파트1동~8동","67.28","201905","4","124,000","4","1987","언주로 3",""," ","-","-"
"서울특별시 강남구 개포동","658-1","0658","0001","개포6차우성아파트1동~8동","79.97","201906","15","141,000","5","1987","언주로 3",""," ","-","-"
"서울특별시 강남구 개포동","658-1","0658","0001","개포6차우성아파트1동~8동","79.97","201908","28","155,000","4","1987","언주로 3",""," ","-","-"
"서울특별시 강남구 개포동","658-1","0658","0001","개포6차우성아파트1동~8동","79.97","201909","2","157,000","2","1987","언주로 3",""," ","-","-"
"서울특별시 강남구 개포동","658-1","0658","0001","개포6차우성아파트1동~8동","79.97","201909","10","151,500","5","1987","언주로 3",""," ","-","-"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","133.46","201901","12","197,000","12","1984","개포로 307",""," ","-","-"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","104.43","201906","8","157,000","6","1984","개포로 307",""," ","-","-"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","104.43","201908","3","174,000","11","1984","개포로 307",""," ","-","-"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","104.43","201909","25","174,000","13","1984","개포로 307",""," ","-","-"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","133.46","201910","1","230,000","3","1984","개포로 307",""," ","-","-"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","161","201910","30","240,000","12","1984","개포로 307",""," ","-","-"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","104.43","201911","12","182,000","14","1984","개포로 307",""," ","-","-"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","161","201911","15","265,000","15","1984","개포로 307",""," ","-","-"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","104.43","201911","17","187,000","3","1984","개포로 307",""," ","-","-"
"서울특별시 강남구 개포동","12-2","0012","0002","개포자이","168.42","201906","5","211,000","14","2004","개포로109길 69",""," ","-","-"
"서울특별시 강남구 개포동","12-2","0012","0002","개포자이","134.3","201907","3","174,000","16","2004","개포로109길 69",""," ","-","-"
"서울특별시 강남구 개포동","12-2","0012","0002","개포자이","170.32","201909","2","213,000","10","2004","개포로109길 69",""," ","-","-"
"서울특별시 강남구 개포동","12-2","0012","0002","개포자이","168.42","201910","18","202,500","19","2004","개포로109길 69",""," ","-","-"
"서울특별시 강남구 개포동","12-2","0012","0002","개포자이","134.3","201910","19","194,000","19","2004","개포로109길 69",""," ","-","-"
"서울특별시 강남구 개포동","12-2","0012","0002","개포자이","170.32","201911","16","202,500","2","2004","개포로109길 69",""," ","-","-"
"서울특별시 강남구 개포동","12-2","0012","0002","개포자이","134.3","201911","23","195,000","10","2004","개포로109길 69",""," ","-","-"
"서울특별시 강남구 개포동","12-2","0012","0002","개포자이","170.32","201911","26","215,000","18","2004","개포로109길 69",""," ","-","-"
"서울특별시 강남구 개포동","12-2","0012","0002","개포자이","170.32","201912","11","218,000","9","2004","개포로109길 69",""," ","-","-"
"서울특별시 강남구 개포동","12-2","0012","0002","개포자이","168.42","201912","11","202,000","5","2004","개포로109길 69",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.64","201902","8","162,000","2","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","58.08","201903","9","185,000","4","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.38","201903","12","163,000","2","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","42.55","201903","13","145,000","3","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","35.87","201903","16","140,000","2","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.38","201903","20","180,000","3","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.64","201903","30","168,000","1","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","49.56","201903","31","190,000","2","1982","선릉로 7",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","42.55","201904","7","150,000","2","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","42.55","201904","11","149,000","2","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.38","201904","14","170,000","4","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.64","201904","14","165,000","4","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","35.64","201904","17","143,000","2","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.64","201904","19","168,000","5","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","41.98","201904","26","158,000","2","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","42.55","201904","29","152,000","2","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.64","201904","29","177,000","3","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","58.08","201904","29","195,000","1","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","41.98","201904","29","165,000","2","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.38","201904","29","175,000","3","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","35.87","201904","29","142,000","5","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","42.55","201904","29","140,000","2","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","41.98","201904","29","150,000","5","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.64","201904","30","198,000","3","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","35.64","201905","4","135,000","5","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.38","201905","6","199,000","5","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","35.87","201905","6","137,500","3","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","42.55","201905","6","150,000","1","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","41.98","201905","6","151,500","5","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","58.08","201905","6","192,000","3","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.64","201905","7","214,000","3","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","58.08","201905","7","193,000","3","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","42.55","201905","7","151,000","4","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","41.98","201905","7","151,000","5","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","56.57","201905","8","245,000","5","1982","선릉로 7",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","35.64","201905","8","140,000","3","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","35.44","201905","8","127,000","4","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","58.08","201905","8","200,000","5","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","42.55","201905","9","186,000","4","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","49.56","201905","9","204,000","5","1982","선릉로 7",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","35.87","201905","11","140,500","3","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","42.55","201905","13","165,000","2","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.64","201905","15","200,000","5","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","41.98","201905","15","178,000","1","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.38","201905","16","179,000","5","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","49.56","201905","17","210,000","4","1982","선릉로 7",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","42.55","201905","17","209,000","1","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","58.08","201905","17","240,000","2","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","41.98","201905","18","165,000","1","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","61.57","201905","18","228,000","3","1982","선릉로 7",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","35.64","201905","21","141,000","1","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","42.55","201905","24","164,000","5","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","35.64","201905","25","141,000","3","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.64","201905","28","178,500","2","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","35.64","201905","28","144,000","1","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","41.98","201905","29","169,000","5","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.38","201905","30","179,000","5","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","61.57","201905","30","250,000","1","1982","선릉로 7",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.38","201906","1","212,000","2","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","49.56","201906","2","209,000","2","1982","선릉로 7",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","42.55","201906","4","220,000","5","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","45.26","201906","5","170,000","2","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","42.55","201906","6","155,000","1","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","42.55","201906","6","170,000","1","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","58.08","201906","7","187,540","4","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","41.98","201906","8","153,000","3","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","35.87","201906","11","145,000","3","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","49.56","201906","15","205,000","1","1982","선릉로 7",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","41.98","201906","17","168,000","3","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","56.57","201906","18","196,200","5","1982","선릉로 7",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","58.08","201906","19","196,000","2","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","35.64","201906","24","150,000","5","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.38","201906","24","209,000","1","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","49.56","201906","24","205,500","2","1982","선릉로 7",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","45.26","201906","27","178,000","3","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","42.55","201906","28","193,000","5","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","42.55","201906","29","139,000","5","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","35.87","201906","29","199,000","5","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","58.08","201907","1","220,000","3","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.38","201907","2","212,000","3","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","58.08","201907","5","230,000","5","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","42.55","201907","6","219,500","4","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","49.56","201907","7","220,000","3","1982","선릉로 7",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","49.56","201907","7","217,000","1","1982","선릉로 7",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.38","201907","11","194,000","2","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","58.08","201907","11","202,000","2","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","58.08","201907","15","228,000","5","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","35.64","201907","15","187,500","4","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","41.98","201907","17","165,000","4","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","41.98","201907","19","177,000","5","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.64","201907","22","220,000","3","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","45.26","201907","23","179,000","3","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","41.98","201907","25","179,000","4","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.64","201907","25","193,000","4","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","58.08","201907","26","205,000","5","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","41.98","201907","30","179,000","4","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","49.56","201907","30","225,000","1","1982","선릉로 7",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","42.55","201907","31","180,000","3","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","58.08","201908","2","236,000","3","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.64","201908","4","193,000","5","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.64","201908","5","194,000","4","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","58.08","201908","8","273,500","4","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","41.98","201908","8","180,000","2","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","49.56","201908","8","225,000","3","1982","선릉로 7",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","56.57","201908","9","225,000","2","1982","선릉로 7",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.64","201908","10","193,000","3","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","35.44","201908","10","200,000","2","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.64","201908","16","210,000","2","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","58.08","201908","17","230,000","5","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","42.55","201908","17","182,000","2","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","41.98","201908","19","180,000","4","1982","개포로 310",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","56.57","201908","20","235,000","1","1982","선릉로 7",""," ","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","49.56","201908","21","233,000","3","1982","선릉로 7",""," ","-","-"
